Title,Description,Source,URL
Animals as Chemical Factories,"Horses bled for antivenom, crabs drained for endotoxin tests, and silkworms boiled for silk. Science can now replace these practices with synthetic alternatives — but we need to find ways to scale them up.",Worksinprogress.co,https://worksinprogress.co/issue/animals-as-chemical-factories/
Cars to fruit: The goods set to get pricier under Trump’s tariff plans,"US president-elect's proposed tariffs on China, Canada and Mexico would raise the prices of numerous products.",Al Jazeera English,https://www.aljazeera.com/economy/2024/11/29/cars-to-fruit-the-goods-set-to-get-pricier-under-trumps-tariff-plans
Supply chains too often “last cog” implemented in clinical trials,A panel highlighted the importance of supply chain prioritisation at the Outsourcing in Clinical Trials and Clinical Trial Supply East Asia conference in...,Clinical Trials Arena,https://www.clinicaltrialsarena.com/news/supply-chains-too-often-last-cog-implemented-in-clinical-trials/
Adoption Of Model-Informed Drug Development Can Improve Pharma ROI,Inflation and the COVID-19 pandemic have put pharmaceutical productivity front and center in recent years.,Forbes,https://www.forbes.com/councils/forbestechcouncil/2024/11/27/adoption-of-model-informed-drug-development-can-improve-pharma-roi/
Reprieve for Chinese biotechs as BIOSECURE Act left out of key bill,"Shares in WuXi AppTec, one of those implicated in the Chinese biotech blacklisting legislation, surged following the omission.",Pharmaceutical Technology,https://www.pharmaceutical-technology.com/news/reprieve-for-chinese-biotechs-as-biosecure-act-left-out-of-key-bill/
Biocodex Strengthens Supply Chain Resilience with Kinaxis,"The human microbiota pioneer invests in an agile and transparent supply chain to better meet patient needs OTTAWA, Ontario — Biocodex, a pioneer and leader in human microbiota health, as well as an innovator in pharmaceuticals, has partnered with Kinaxis® Inc…",Financial Post,https://financialpost.com/pmn/business-wire-news-releases-pmn/biocodex-strengthens-supply-chain-resilience-with-kinaxis
Octapharma Injects Efficiency Into Its Supply Chain With Kinaxis,"Global healthcare company will streamline operations and achieve end-to-end supply chain orchestration OTTAWA, Ontario — Octapharma, the largest privately owned company dedicated to the research and development of life-saving or life-altering therapies, has s…",Financial Post,https://financialpost.com/pmn/business-wire-news-releases-pmn/octapharma-injects-efficiency-into-its-supply-chain-with-kinaxis
Crossject confirms ZEPIZURE® supply chain readiness with another successful ISO audit for Quality Management System,"Dijon, France, December 19, 2024, 07:30 CET -- Crossject (ISIN: FR0011716265; Euronext: ALCJ), a specialty pharma company preparing to commercialize its epilepsy rescue therapy ZEPIZURE®, has successfully concluded a surveillance audit of its manufacturing si…",GlobeNewswire,https://www.globenewswire.com/news-release/2024/12/19/2999521/0/en/Crossject-confirms-ZEPIZURE-supply-chain-readiness-with-another-successful-ISO-audit-for-Quality-Management-System.html
NAFDAC warns Nigerians of fake anti-malaria drugs in circulation,"The National Agency for Food and Drugs Administration and Control has raised an alert over the circulation of counterfeit Combiart Dispersible Tablet 20/120mg in Nigeria. NAFDAC disclosed this via a post on its X handle on Thursday. According to the agency, t…",The Punch,https://punchng.com/nafdac-warns-nigerians-of-fake-anti-malaria-drugs-in-circulation/
TikTok Posts Warn Chick-fil-A Sandwiches Contain Avian Contraceptives. Here's the Truth,People are using TikTok to warn against the alleged issue with the restaurant's chicken sandwiches.,Snopes.com,https://www.snopes.com//news/2024/12/10/chick-fil-a-avian-contraceptives/
It’s Not Just Denied Claims. Insurance Firms Are Hiring Middlemen to Deny Meds.,Lawmakers are looking to break up massive health care conglomerates that manage nearly 80 percent of prescriptions.,Truthout,https://truthout.org/articles/its-not-just-denied-claims-insurance-firms-are-hiring-middlemen-to-deny-meds/
Americans Can Stockpile Ivermectin & Key Prescription Medicines – Here Is One Way To Do It,"(Note: Thank you for supporting businesses like the one presenting a sponsored message below and working with them through the links below which benefits Gateway Pundit.
The post Americans Can Stockpile Ivermectin & Key Prescription Medicines – Here Is One Wa…",Thegatewaypundit.com,https://www.thegatewaypundit.com/2024/11/americans-can-stockpile-ivermectin-key-prescription-medicine/
