Title,Description,Source,URL,Sentiment
Why an Offline Nuclear Reactor Led to Thousands of Hospital Appointments Being Canceled,Radioisotopes are a vital resource for imaging patients’ organs and tumors—but these unstable elements also suffer from an unstable supply chain.,Wired,https://www.wired.com/story/why-an-offline-nuclear-reactor-led-to-thousands-of-hospital-appointments-being-cancelled/,Positive
Some pubs start to run out of Guinness as supply limit bites,Several pubs say they've run dry of the stout as its owner Diageo seeks to avoid festive panic buying.,BBC News,https://www.bbc.com/news/articles/c0ewqx53q8do,Negative
Lawyers File Charges Against Apple Over Its Alleged Use of Conflict Minerals,"Building electronics requires a lot of rare minerals that are often mined, under duress, in war zones.",Gizmodo.com,https://gizmodo.com/lawyers-file-charges-against-apple-over-its-alleged-use-of-conflict-minerals-2000539999,Positive
[Removed],[Removed],[Removed],https://removed.com,Neutral
"Tim Cook at CEO Summit in China to Talk Supply Chain, Trade Issues","Apple CEO Tim Cook on Monday made his third visit to China this year, ahead of a five-day supply chain conference with Chinese Premier Li Qiang and other corporate leaders (via Bloomberg).





The Apple chief joined more than 20 global business leaders in me…",MacRumors,https://www.macrumors.com/2024/11/25/tim-cook-visits-china-third-time-this-year/,Positive
An Early-Warning System Will Make Your Supply Chain More Resilient,Three steps to get started.,Harvard Business Review,https://hbr.org/2024/12/an-early-warning-system-will-make-your-supply-chain-more-resilient,Neutral
Compromising OpenWrt Supply Chain,"Introduction Hello, I’m RyotaK (@ryotkak ), a security engineer at Flatt Security Inc.
A few days ago, I was upgrading my home lab network, and I decided to upgrade the OpenWrt on my router.1 After accessing the LuCI, which is the web interface of OpenWrt, I …",Flatt.tech,https://flatt.tech/research/posts/compromising-openwrt-supply-chain-sha256-collision/,Negative
Stellantis CEO Carlos Tavares resigns from struggling carmaker,Carlos Tavares is stepping down as Chief Executive Officer of Stellantis following a sharp decline in the carmaker’s sales. A new CEO will be appointed in 2025.,The Verge,https://www.theverge.com/2024/12/2/24310921/stellantis-ceo-carlos-tavares-resigns-effective-immediately,Negative
Analysis of supply-chain attack on Ultralytics,Analysis of a package targeted by a supply-chain attack to the build and release process,Pypi.org,https://blog.pypi.org/posts/2024-12-11-ultralytics-attack-analysis/,Neutral
Ultralytics Supply-Chain Attack,"Last week, we saw a supply-chain attack against the Ultralytics AI library on GitHub. A quick summary:
On December 4, a malicious version 8.3.41 of the popular AI library ultralytics ­—which has almost 60 million downloads—was published to the Python Package …",Schneier.com,https://www.schneier.com/blog/archives/2024/12/ultralytics-supply-chain-attack.html,Positive
