,Title,Description,Source,URL
0,Why an Offline Nuclear Reactor Led to Thousands of Hospital Appointments Being Canceled,Radioisotopes are a vital resource for imaging patients’ organs and tumors—but these unstable elements also suffer from an unstable supply chain.,Wired,https://www.wired.com/story/why-an-offline-nuclear-reactor-led-to-thousands-of-hospital-appointments-being-cancelled/
1,[Removed],[Removed],[Removed],https://removed.com
2,"Tim Cook at CEO Summit in China to Talk Supply Chain, Trade Issues","Apple CEO Tim Cook on Monday made his third visit to China this year, ahead of a five-day supply chain conference with Chinese Premier Li Qiang and other corporate leaders (via Bloomberg).





The Apple chief joined more than 20 global business leaders in me…",MacRumors,https://www.macrumors.com/2024/11/25/tim-cook-visits-china-third-time-this-year/
3,Compromising OpenWrt Supply Chain,"Introduction Hello, I’m RyotaK (@ryotkak ), a security engineer at Flatt Security Inc.
A few days ago, I was upgrading my home lab network, and I decided to upgrade the OpenWrt on my router.1 After accessing the LuCI, which is the web interface of OpenWrt, I …",Flatt.tech,https://flatt.tech/research/posts/compromising-openwrt-supply-chain-sha256-collision/
4,Stellantis CEO Carlos Tavares resigns from struggling carmaker,Carlos Tavares is stepping down as Chief Executive Officer of Stellantis following a sharp decline in the carmaker’s sales. A new CEO will be appointed in 2025.,The Verge,https://www.theverge.com/2024/12/2/24310921/stellantis-ceo-carlos-tavares-resigns-effective-immediately
5,Williams-Sonoma says rivals who lean into discounts are training shoppers to 'wait for that promotion',Williams-Sonoma CEO Laura Alber said the chain has reduced the number of discounts it offers since they can push customers to delay purchases.,Business Insider,https://www.businessinsider.com/williams-sonoma-ceo-says-discounts-train-customers-to-delay-purchases-2024-11
6,"Homebase collapses into administration with 2,000 jobs at risk","Homebase enters administration, but The Range buys up to 70 stores and the brand.",BBC News,https://www.bbc.com/news/articles/c624nzepd59o
7,NVIDIA Corporation (NVDA) Supply Chain Boosted by Vishay’s Strong Orders for AI Servers and RTX 50 Series,"We recently compiled a list of the 15 AI Stocks on Wall Street’s Radar. In this article, we are going to take a look at where NVIDIA Corporation (NASDAQ:NVDA...",Yahoo Entertainment,https://finance.yahoo.com/news/nvidia-corporation-nvda-supply-chain-195023718.html
8,8 Questions to Ask About Your Globalization Strategy Right Now,Donald Trump’s victory in the U.S. presidential election is just the latest reason to rethink your approach.,Harvard Business Review,https://hbr.org/2024/11/8-questions-to-ask-about-your-globalization-strategy-right-now
9,Nvidia's Blackwell era will test the world's most valuable company in a highwire act,"Nvidia needs to provide performance leaps and navigate supply-side pressures to meet high expectations for its next-gen AI chip, Blackwell.",Business Insider,https://www.businessinsider.com/nvidia-blackwell-ai-chip-sales-earnings-jensen-huang-2024-11
